"TRANSECT","1867-01-01 to 1924-10-01","1924-10-01 to 1933-11-24","1933-11-24 to 1951-05-12","1951-05-12 to 1974-04-18","1974-04-18 to 2003-11-25","2003-11-25 to 2006-03-01"
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA
