"TRANSECT","1867-01-01 to 1924-10-01 EPR","1924-10-01 to 1933-11-24 EPR","1933-11-24 to 1951-05-12 EPR","1951-05-12 to 1974-04-18 EPR","1974-04-18 to 2003-11-25 EPR","2003-11-25 to 2006-03-01 EPR"
1,1.82213500169898,5.70506003843242,2.69197792124513,2.18311217221471,1.29428511016278,0.37029828408456
2,1.76946079721523,6.45399139234255,3.51332105053441,2.53425759530387,1.45825408363841,0.196807194607242
3,1.87364271292096,5.86457665724550,3.98728038207309,3.25601042952013,1.39962211582253,2.51416996438556
4,1.88955112312492,4.79271450456004,4.68439595148689,3.97614057730336,1.29837819053900,2.82314252379335
5,1.96077984725394,4.02272567579581,5.27423406505795,4.69988033733023,1.19629604973752,2.48426548405287
6,2.06791606777759,3.53185402880792,5.54092879137223,5.53824439709791,1.00563713103293,2.00373796353445
7,2.18011431092848,3.13985952128118,5.60529898421576,6.66887719428957,0.861442001110817,1.03759259688898
8,2.31239654224284,2.70150537405428,5.47295322840543,7.3006061568078,1.01495533984412,1.76509171977643
9,2.36347236922999,2.52122446405520,5.24021779991459,7.43709373252227,1.68938842101386,1.12044357541422
10,2.41136525252851,1.96882773284776,5.13251379347673,7.26402676428709,2.48890129910558,4.89855246578766
11,2.53591426255937,2.44124522684213,4.16267010569029,7.24876308904806,3.10999598884819,6.27589787507896
12,2.82868153981528,1.77267621599737,3.18748187391353,6.44005970851747,4.55661357369033,6.78775582379105
13,3.17627518638924,1.37951692938036,1.50041192056657,6.24650922621676,5.466411179405,7.34198133121343
14,3.56296827048493,-0.663377330039265,0.770394433765397,5.68498842153133,5.93017427753621,16.5832778206741
15,3.4212673524112,-1.23006996260644,0.0507550544510648,4.91521155407267,7.14150959238301,24.3912064267618
16,2.98216895792851,1.08950580598351,-1.80716716189814,3.817772914301,9.35825746587136,27.716305075767
17,2.85013919490527,2.16449719342794,-2.55918407611737,2.66047239994528,11.2948063046071,31.9822893244143
18,2.75398587548616,3.76880146372411,-2.80541451307173,0.186843847372284,14.2025286175515,31.7242473735136
19,2.69930249004403,4.92220725591496,-2.18574485071317,-0.075545563143852,15.1448593566107,19.5954025982289
20,2.66396709809796,6.21776025346332,-0.960117332202517,-0.692704459507604,13.6595119772277,10.0722867230029
