"TRANSECT","1867-01-01","1924-10-01","1933-11-24","1951-05-12","1974-04-18","2003-11-25","2006-03-01"
1,-299.561848052792,-194.267405708039,-142.046568479538,-95.0070200365205,-44.9031004018832,-6.5603472616361,-5.7213426563267
2,-329.724836772562,-227.474241882525,-168.398117932343,-107.006442150676,-48.8434945455787,-5.6432167198741,-5.1973001446955
3,-358.770311351835,-250.499428883537,-196.818468303106,-127.144840147319,-52.4171706457027,-10.9538447871027,-5.257355580125
4,-376.287233044072,-267.097062389412,-223.22731126685,-141.372304750183,-50.117155117114,-11.6531458724615,-5.2566010308804
5,-396.303187192857,-282.996972019487,-246.175255628161,-154.013434074902,-46.1479612370517,-10.7081004540058,-5.0793674257545
6,-415.186426579714,-295.689205479536,-263.360645725434,-166.538607831264,-39.4321055997868,-9.6404499892141,-5.1004738362196
7,-438.802598361524,-312.821855769459,-284.081388206171,-186.134547325820,-33.0792479927683,-7.5593237242443,-5.2083947444438
8,-460.482212847782,-326.857369371108,-302.129343467778,-206.495108698545,-38.9411969846307,-8.8734926291938,-4.8742300202757
9,-479.616555760070,-343.040229152402,-319.962390975940,-228.394968707844,-57.7085736466411,-7.6610202317838,-5.1223713636535
10,-503.774214856731,-364.430335661303,-346.408819345017,-256.723413934621,-90.0090243334344,-16.2761757108901,-5.1772636856671
11,-519.469075904882,-372.927970080493,-350.582215826028,-277.843832444952,-111.479754645074,-19.3471885425656,-5.1275514393045
12,-538.243785471080,-374.784741531945,-358.558683346611,-302.860712410116,-155.05693109984,-20.0688144633646,-4.6894334598709
13,-549.456173628571,-365.910978474264,-353.283674197388,-327.065517404584,-183.703852231932,-21.7632931006822,-5.1281737557137
14,-562.227018546837,-356.336260297335,-362.408434707366,-348.946583478446,-218.472205376616,-42.7928232862079,-5.2192047719683
15,-571.93609746176,-374.233711168453,-385.493063894667,-384.606171463739,-271.798699714515,-60.233923762631,-4.9694642696667
16,-583.544411811675,-411.215897672968,-401.243188363952,-432.821577839531,-345.201074543368,-67.9659019996226,-5.1675888553506
17,-613.368160472624,-448.66915800977,-428.856596028283,-473.575708459725,-412.516044639611,-77.9112759499764,-5.4472943847967
18,-646.554957144593,-487.412299375404,-452.914859128001,-501.936595468744,-497.648401196312,-76.9033547810122,-5.024032649791
19,-659.19080148656,-503.208094308454,-458.153041042668,-496.346686680609,-498.080509098297,-49.4192372543746,-5.0208867098944
20,-614.648309071552,-460.707503501464,-403.793703482776,-420.570767441099,-436.468809241907,-31.8104448315961,-8.9891266948196
